Latitude,Longitude,Methane (CH4) emissions metric tons carbon equivalent,Industry Type (sectors),Facility Name,Address,City,State,Zip Code,County
45.66,-108.77,4045.25,"Chemicals,Petroleum Product Suppliers,Refineries",CHS INC LAUREL REFINERY,803 US HIGHWAY 212 SOUTH,LAUREL,MT,59044,YELLOWSTONE COUNTY
37.59,-100.45,4036.75,Petroleum and Natural Gas Systems,Southern Star-Montezuma Station,,Montezuma,KS,67867,GRAY COUNTY
17.75,-64.70,4035.25,"Petroleum Product Suppliers,Refineries","Limetree Bay Refining and Terminals, LLC",1 ESTATE HOPE,CHRISTIANSTED,VI,820,ST. CROIX ISLAND
29.34,-97.11,4034.25,Petroleum and Natural Gas Systems,Yoakum Cryogenic Plant,,Yoakum,TX,77995,LAVACA COUNTY
40.94,-81.68,4023.5,Petroleum and Natural Gas Systems,Dominion Energy Ohio - Chippewa Station (Stor),17045 Galehouse Rd,Doylestown,OH,44230,WAYNE COUNTY
29.97,-93.96,4023.5,Chemicals,Indorama Ventures Oxides LLC,6001 Highway 366,PORT NECHES,TX,77651,JEFFERSON COUNTY
37.32,-89.94,4015.25,Petroleum and Natural Gas Systems,"NGPL Station 309, Marble Hill, MO",8000 Why 34,Marble Hill,MO,63764,BOLLINGER COUNTY
30.43,-99.81,4007,Petroleum and Natural Gas Systems,JUNCTION CMP STN,"US 377 SW 10 MI TO PRIVATE RD,",JUNCTION,TX,76849,KIMBLE COUNTY
41.54,-79.04,3989,Petroleum and Natural Gas Systems,TGP Station 307 Marienville,44264 ROUTE 66,MARIENVILLE,PA,16239,FOREST COUNTY
36.98,-76.62,3983.75,"Other,Waste",SMITHFIELD FRESH MEATS CORP-SMITHFIELD,601 NORTH CHURCH STREET,SMITHFIELD,VA,23430,ISLE OF WIGHT COUNTY
32.64,-88.66,3980.5,Petroleum and Natural Gas Systems,"TGP Station 542, Dekalb, MS",538 Pumping Station Road,Daleville,MS,39326,KEMPER COUNTY
40.27,-75.65,3971.5,Waste,WASTE MGMT DSPL SVC OF PA POTTSTOWN LDFL,1425 SELL ROAD,POTTSTOWN,PA,19464,MONTGOMERY COUNTY
38.38,-86.78,3968.75,Petroleum and Natural Gas Systems,ANR Pipeline Celestine CS,146 S. Celestine South,Celestine,IN,47521,DUBOIS COUNTY
40.41,-76.15,3968,Petroleum and Natural Gas Systems,Bernville Station,306 Station Rd,Robesonia,PA,19551,Berks
37.61,-99.40,3965.25,Petroleum and Natural Gas Systems,ANR Pipeline Greensburg CS,,GREENSBURG,KS,67054,KIOWA COUNTY
34.22,-119.22,3965.25,Waste,Oxnard Landfills,4105 W. Gonzales Rd.,Oxnard,CA,93036,VENTURA COUNTY
40.75,-116.53,3956.5,Power Plants,TS Power Plant,450 TS POWER PLANT ROAD,BATTLE MOUNTAIN,NV,89820,Eureka
70.36,-147.96,3951.5,Petroleum and Natural Gas Systems,ENDICOTT PRODUCTION FACILITY,,Prudhoe Bay,AK,99734,NORTH SLOPE BOROUGH
27.73,-91.11,3945,Petroleum and Natural Gas Systems,Green Canyon 237 B,,Offshore,LA,0,
31.99,-81.05,3942.75,Petroleum and Natural Gas Systems,"SLNG Elba Island Terminal Savannah, GA",1 Elba Island Road,Savannah,GA,31404,CHATHAM COUNTY
39.96,-80.52,3931.75,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",Majorsville Gas Plant,1700 Majorsville Road,Dallas,WV,26036,MARSHALL COUNTY
39.56,-104.93,3926.75,Waste,WASTE MGMT OF CO INC County Line,4200 E COUNTY LINE RD,LITTLETON,CO,80126,DOUGLAS COUNTY
30.57,-92.13,3904.75,Petroleum and Natural Gas Systems,Opelousas,586 Texas Eastern Rd,Opelousas,LA,70570,ST. LANDRY PARISH
32.41,-92.98,3898.75,Petroleum and Natural Gas Systems,Mainline Compressor Station,"HWY 9, W 2.7 MI S OF Bryceland",Bryceland,LA,71008,
32.05,-88.38,3898.75,Petroleum and Natural Gas Systems,TRANSCO STATION 084,2328 Brightwater Rd,Bulter,AL,36904,CHOCTAW COUNTY
33.54,-95.52,3893,Petroleum and Natural Gas Systems,Lamar Compressor Station,5528 Hwy 24,Paris,TX,75462,LAMAR COUNTY
39.72,-80.22,3889.25,Petroleum and Natural Gas Systems,Blacksville Compressor Station,4960 Mason Dixon Highway,Blacksville,WV,26521,MONONGALIA COUNTY
40.58,-98.31,3887.75,Power Plants,Gerald Whelan Energy Center,4520 EAST SOUTH ST,HASTINGS,NE,68902,Adams
49.00,-122.22,3856,Petroleum and Natural Gas Systems,NORTHWEST PIPELINE GP SUMAS C/S,4738 JONES RD,SUMAS,WA,98295,WHATCOM COUNTY
31.77,-106.41,3855.25,"Chemicals,Petroleum Product Suppliers,Refineries",Marathon El Paso Refinery,212 North Clark Street,EL PASO,TX,79905,EL PASO COUNTY
36.18,-98.99,3847.25,Petroleum and Natural Gas Systems,DCP MIDSTREAM LP/CIMARRON PLT,,SEILING,OK,73663,WOODWARD COUNTY
40.46,-104.66,3822,Petroleum and Natural Gas Systems,LUCERNE GAS PLANT,31495 COUNTY ROAD 43,GREELEY,CO,80631,WELD COUNTY
32.82,-83.51,3818.5,Waste,Swift Creek Environmental Landfill,4200 Davis Road,Macon,GA,31211,BIBB COUNTY
38.21,-112.92,3808,Petroleum and Natural Gas Systems,KERN RIVER GAS TRANSMISSION COMPANY: MILFORD COMPRESSOR STATION,800 EAST 7900 SOUTH,MINERSVILLE,UT,84012,BEAVER COUNTY
35.26,-101.64,3798.5,"Other,Waste",TYSON FRESH MEATS,5000 N. FM 1912,AMARILLO,TX,79187,POTTER COUNTY
39.22,-82.26,3797.75,Petroleum and Natural Gas Systems,TGP Station 204 Albany,2335 US Hwy 50 W,Albany,OH,45710,ATHENS COUNTY
36.36,-86.07,3795.75,Petroleum and Natural Gas Systems,Dixon Springs,120 J.D. Hood Lane,Hartsville,TN,37074,TROUSDALE COUNTY
31.25,-90.20,3784,Petroleum and Natural Gas Systems,TRANSCO STATION 70,967 HIGHWAY 583,TYLERTOWN,MS,39667,WALTHALL COUNTY
40.27,-104.73,3782.75,Petroleum and Natural Gas Systems,MEWBOURN GAS PLANT,18455 WELD COUNTY RD 35,GILCREST,CO,80623,WELD COUNTY
29.72,-95.21,3778.5,"Petroleum Product Suppliers,Refineries",PASADENA REFINING SYSTEM,111 RED BLUFF ROAD,PASADENA,TX,77506,HARRIS COUNTY
38.75,-90.16,3775.75,Waste,CHAIN OF ROCKS RECYCLING & DISPOSAL,3399 WEST CHAIN OF ROCKS ROAD,GRANITE CITY,IL,62040,MADISON COUNTY
